ลำดับ,เมือง,ย่าน,ชื่อร้าน / สถานที่,ประเภท,อาหาร / จุดเด่น,เวลาเปิด-ปิด,เมนูเด็ด / ไฮไลต์,โน้ตส่วนตัว,ลิงก์ Google Maps,ลิงก์ ภาพรีวิว
1,Tokyo,Tokyo Station / Marunouchi,Hakata Kanefuku Fukutake (博多かねふく ふく竹 東京駅一番街店),ร้านอาหาร,หม้อไฟนาเบะไข่ปลาเมนไทโกะ (Motsunabe),11:00 – 22:30,"明太もつ鍋 (หม้อไฟไส้วัวโปะไข่ปลาเมนไทโกะพูนๆ ภูเขาไฟ), ไข่หวานเมนไทโกะ",,"https://www.google.com/maps/search/?api=1&query=35.6801757,139.7677249&query_place_id=Hakata%20Kanefuku%20Fukutake%20Tokyo%20Station%20/%20Marunouchi",https://www.google.com/search?tbm=isch&q=Hakata%20Kanefuku%20Fukutake%20Tokyo%20Station%20/%20Marunouchi%20japan%20food%20review
2,Tokyo,Ginza,Ginza Oishi (銀座 大石),ร้านอาหาร Fine Dining,โมเดิร์นเฟรนช์โอมากาเสะ (French-Japanese Omakase),"12:00 (กลางวัน) / 18:00 (เย็น) [ปิดจันทร์-อังคาร, ต้องจอง]","คอร์ส Omakase ฟิวชั่นฝรั่งเศสผสานวัตถุดิบพรีเมียมญี่ปุ่น (Uni, Foie Gras, Wagyu)",,"https://www.google.com/maps/search/?api=1&query=35.6720726,139.7683143&query_place_id=Ginza%20Oishi%20Ginza",https://www.google.com/search?tbm=isch&q=Ginza%20Oishi%20Ginza%20japan%20food%20review
3,Tokyo,Shinjuku,Sanrio Gift Gate Shinjuku (サンリオギフトゲート 新宿店),ช้อปปิ้ง,สินค้าคาแรกเตอร์และของที่ระลึก (Sanrio Goods),11:00 – 20:00,"สินค้า Sanrio Limited Edition, Hello Kitty, Cinnamoroll, Kuromi ชั้น 1F อาคาร Kinokuniya",,"https://www.google.com/maps/search/?api=1&query=35.6923671,139.70309&query_place_id=Sanrio%20Gift%20Gate%20Shinjuku%20Shinjuku",https://www.google.com/search?tbm=isch&q=Sanrio%20Gift%20Gate%20Shinjuku%20Shinjuku%20japan%20food%20review
4,Tokyo,Shinjuku,sanrio house Lumine Shinjuku 2 (サンリオハウス ルミネ新宿2店),ช้อปปิ้ง,สินค้าแฟชั่นและของขวัญ Sanrio สำหรับผู้ใหญ่,11:00 – 21:00,คอลเลกชันแฟชั่น เสื้อผ้า กระเป๋า และแอคเซสเซอรี Sanrio ดีไซน์มินิมอลเก๋ๆ,,"https://www.google.com/maps/search/?api=1&query=35.6894787,139.7010276&query_place_id=sanrio%20house%20Lumine%20Shinjuku%202%20Shinjuku",https://www.google.com/search?tbm=isch&q=sanrio%20house%20Lumine%20Shinjuku%202%20Shinjuku%20japan%20food%20review
5,Tokyo,Tokyo Station / Yaesu,Wagyu Itto Yakiniku Bouya (和牛一頭焼肉 房家 東京駅店),ร้านอาหาร,ปิ้งย่างเนื้อวากิว A5 (Wagyu Yakiniku),11:00 – 23:00,"เซ็ตเนื้อวากิว A5 รวมส่วนพิเศษ 4-6 ชนิด, ลิ้นวัวย่างเกลือ, ยำเนื้อดิบยุกเกะ (โซน Kurobei Yokocho)",,"https://www.google.com/maps/search/?api=1&query=35.6824223,139.7680771&query_place_id=Wagyu%20Itto%20Yakiniku%20Bouya%20Tokyo%20Station%20/%20Yaesu",https://www.google.com/search?tbm=isch&q=Wagyu%20Itto%20Yakiniku%20Bouya%20Tokyo%20Station%20/%20Yaesu%20japan%20food%20review
6,Tokyo,Ginza,OSMIC FIRST GINZA SIX店,คาเฟ่ / ขนมหวาน,ขนมหวานและผลิตภัณฑ์จากมะเขือเทศพรีเมียม (Specialty Sweets),10:30 – 20:30,"OSMIC Tomato Princess (มะเขือเทศหวานจัดคัดพิเศษระดับรางวัล), พุดดิ้งมะเขือเทศ, ฟินองเซีย",,"https://www.google.com/maps/search/?api=1&query=35.6697717,139.7639164&query_place_id=OSMIC%20FIRST%20GINZA%20SIX%E5%BA%97%20Ginza",https://www.google.com/search?tbm=isch&q=OSMIC%20FIRST%20GINZA%20SIX%E5%BA%97%20Ginza%20japan%20food%20review
7,Tokyo,Ginza,Shabusen Ginza Ten (しゃぶせん 銀座店 - EXITMELSA 8F),ร้านอาหาร,ชาบูชาบู / สุกียากี้หม้อเดี่ยว (Shabu-shabu & Sukiyaki),11:00 – 22:00,ชุดชาบูเนื้อวากิว/หมูดำคุโรบูตะหม้อเดี่ยว พร้อมน้ำจิ้มงาสูตรเด็ดเสิร์ฟพร้อมข้าวถั่วแดง,,"https://www.google.com/maps/search/?api=1&query=35.670661,139.7640411&query_place_id=Shabusen%20Ginza%20Ten%20Ginza",https://www.google.com/search?tbm=isch&q=Shabusen%20Ginza%20Ten%20Ginza%20japan%20food%20review
8,Tokyo,Ginza,Age.3 GINZA (age.3 銀座),คาเฟ่ / ขนมหวาน,แซนด์วิชขนมปังทอดไส้ครีมทะลัก (Fried Bread Cream Sandwich),11:00 – 19:00,"ขนมปังทอดกรอบไส้วิปครีมล้นๆ ไส้สตรอว์เบอร์รีสด, ชาเขียวมัทฉะถั่วแดง, สลัดไข่",,"https://www.google.com/maps/search/?api=1&query=35.6727584,139.7712945&query_place_id=Age.3%20GINZA%20Ginza",https://www.google.com/search?tbm=isch&q=Age.3%20GINZA%20Ginza%20japan%20food%20review
9,Tokyo,Ginza,Kanadaya (銀座 金田屋 - EXITMELSA 1F),ร้านขนมหวาน,ไดฟุกุผลไม้หน้าเปิดทรงเครื่องประดับ (Jewelry Fruit Daifuku),11:00 – 20:00,"ไดฟุกุผลไม้สดตกแต่งสวยงามหรูหรา (สตรอว์เบอร์รี, เมลอน, องุ่นไชน์มัสกัต) ผสานครีมชีส",,"https://www.google.com/maps/search/?api=1&query=35.6707242,139.7638483&query_place_id=Kanadaya%20Ginza",https://www.google.com/search?tbm=isch&q=Kanadaya%20Ginza%20japan%20food%20review
10,Tokyo,Ginza,PUDDING LAB Ginza (プリン研究所 銀座店 - EXITMELSA 1F),ร้านขนมหวาน,พุดดิ้งไฮเอนด์พรีเมียม (Craft Pudding Specialty),11:00 – 20:00,"Matcha Pudding Ouka (พุดดิ้งมัทฉะเกรดสูงสุดเข้มข้นลึกซึ้ง), Vanilla Pudding พร้อมซอสเลือกได้ 12 ชนิด",,"https://www.google.com/maps/search/?api=1&query=35.6706959,139.7639323&query_place_id=PUDDING%20LAB%20Ginza%20Ginza",https://www.google.com/search?tbm=isch&q=PUDDING%20LAB%20Ginza%20Ginza%20japan%20food%20review
