ลำดับ	ภาพรีวิวจริง	เมือง	ย่าน	ชื่อร้าน / สถานที่	ประเภท	อาหาร / จุดเด่น	เวลาเปิด-ปิด	เมนูเด็ด / ไฮไลต์	โน้ตส่วนตัว	Google Maps
1	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Nl8NPWUjOSXbEzJJqdxSUWCf3XaaGffvKJxg95bLmU6IfRbVbGvqBD0ShILxsyKPoHUVhdgIq7P0d_qUibe8mbrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSjHLc3EJcYaFSNP2rP-8hu7PulwRcWLRvBXXVOEGSCtNH_JTjngTsywHq2YIk0gJS9AUNLH9Fx_fWaFOql_tifg==/s_0na4.jpg"")"	Tokyo	Tokyo Station / Marunouchi	Hakata Kanefuku Fukutake (博多かねふく ふく竹 東京駅一番街店)	ร้านอาหาร	หม้อไฟนาเบะไข่ปลาเมนไทโกะ (Motsunabe)	11:00 – 22:30	明太もつ鍋 (หม้อไฟไส้วัวโปะไข่ปลาเมนไทโกะพูนๆ ภูเขาไฟ), ไข่หวานเมนไทโกะ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6801757,139.7677249&query_place_id=Hakata%20Kanefuku%20Fukutake%20Tokyo%20Station%20/%20Marunouchi"", ""📍 แผนที่"")"
2	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221GQPja9TvUqqE4Meopt2E4NkRq0sn1ov695564MlXojEyRVuBRB2iDGSVq0XOh9CCFIsU4YgO9KL6zIzCNyOFGxGbrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSsPuF5Kxepgfw0l1c544FwidydvwiLWaN6y9aa0PpciCavF1E5weBN8CpfvNbxR1_F7hJ-oWFRyByTdaCMG5JRQ==/640x640_rect_51b368853da05a7073b7546ed6d2b4dc.jpg"")"	Tokyo	Ginza	Ginza Oishi (銀座 大石)	ร้านอาหาร Fine Dining	โมเดิร์นเฟรนช์โอมากาเสะ (French-Japanese Omakase)	12:00 (กลางวัน) / 18:00 (เย็น) [ปิดจันทร์-อังคาร, ต้องจอง]	คอร์ส Omakase ฟิวชั่นฝรั่งเศสผสานวัตถุดิบพรีเมียมญี่ปุ่น (Uni, Foie Gras, Wagyu)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6720726,139.7683143&query_place_id=Ginza%20Oishi%20Ginza"", ""📍 แผนที่"")"
3	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG86nWwWpxabKZcnY5Y9iX8M_W0f2tW4g1pzXXC983Al8a_U-pZQPjAyHpWH7MQYxmJQ2FLUJaFXZVbh0Z4khd3inGTpN24P6Y4uT4xKyxRFmuZaeGRigcNFfUnqf_uqN7XJezuOU3mWoOMB-6PsaJ4fZFX7FHoC0im0byMRPS4K3us2SZEHJyTi3y6DvrDBKV1M5fEt0RIzTc2-2XBOiEi2pyMIGLgPEyF86WR0KPk4-aYgwOLnoKncnd71WdOkg2Q==/01.jpg"")"	Tokyo	Shinjuku	Sanrio Gift Gate Shinjuku (サンリオギフトゲート 新宿店)	ช้อปปิ้ง	สินค้าคาแรกเตอร์และของที่ระลึก (Sanrio Goods)	11:00 – 20:00	สินค้า Sanrio Limited Edition, Hello Kitty, Cinnamoroll, Kuromi ชั้น 1F อาคาร Kinokuniya		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6923671,139.70309&query_place_id=Sanrio%20Gift%20Gate%20Shinjuku%20Shinjuku"", ""📍 แผนที่"")"
4	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGz68sAGD1zBNMdl0xZaNos2GaqsNVswWRIaLwLk4rMCJTQsE0jiGpotfD3hXLNXs03QJYsov5oGRfp_hstfewqJUQSJQC0JdhLNutgVVblosXvmuCXWL1lVi0dJQWc1yL1nPQWGyyO_QOBAZvHOwLu0VLeT7PjJDhtC5KrEZq58ZvMnOhZZI1WYcCo5VnKDmcjA3J-qRaqbRMAm-X9hzB1u6awpYnDPtv9-wlgRdesKiLEz4dkxdF1jPkjcmo0nbsqY475eGxUsfDKSHNjAWiICAQoZS0yY8OiztkD6wFCZDpp4QeLJJv_8FCsuGuzwPF6DwLtWor8vl9ORLFPI_f3j8Sa1DbjqUR3mH2mazPrZWl808vAvUUDVGyRysXsBB82VhMxUKOleI6mocHBvYLy_9JbIzwXinlZ3lwfiA5qTHg2TUWon14TQrPwboFlQOaA==/18505-4010-2ff2cb7c9f8761e5f3eedcbb7d184bac-3900x2600.jpg"")"	Tokyo	Shinjuku	sanrio house Lumine Shinjuku 2 (サンリオハウス ルミネ新宿2店)	ช้อปปิ้ง	สินค้าแฟชั่นและของขวัญ Sanrio สำหรับผู้ใหญ่	11:00 – 21:00	คอลเลกชันแฟชั่น เสื้อผ้า กระเป๋า และแอคเซสเซอรี Sanrio ดีไซน์มินิมอลเก๋ๆ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6894787,139.7010276&query_place_id=sanrio%20house%20Lumine%20Shinjuku%202%20Shinjuku"", ""📍 แผนที่"")"
5	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Nl8NPWUjOSXbEzJJqdxSUWCf3XaaGffvKJxg95bLmUriZKQtp5cREo_WJ0Dr5LoEe4lBqEzk-JFX3Rj9ltfZmUXSGLp35zCRrXgMQt-0ahpxk6TduD-mOLk-MSssURZrmWnhkYoHDRX1J6n_7qje1yXs7jlN5lqDjAfuj7GieH2RV-xR6AtIptG8jET0uCt4r136v2cyGVq9WrFU9CtaPoGP0Uyn4eglgG_zNkSt-0B0MlryWFWjVGJtDpvxqfBJfsxOSccTX7apDTzMm-b4I=/s_0n89.jpg"")"	Tokyo	Tokyo Station / Yaesu	Wagyu Itto Yakiniku Bouya (和牛一頭焼肉 房家 東京駅店)	ร้านอาหาร	ปิ้งย่างเนื้อวากิว A5 (Wagyu Yakiniku)	11:00 – 23:00	เซ็ตเนื้อวากิว A5 รวมส่วนพิเศษ 4-6 ชนิด, ลิ้นวัวย่างเกลือ, ยำเนื้อดิบยุกเกะ (โซน Kurobei Yokocho)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6824223,139.7680771&query_place_id=Wagyu%20Itto%20Yakiniku%20Bouya%20Tokyo%20Station%20/%20Yaesu"", ""📍 แผนที่"")"
6	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGwDDSRwFgwEwBOwzT-GeSPQP-exZ-24UX98A_XultMjYWChHXReHsxPT1VI1u0WjThi34Brmjsm34DTaSLNhwAboIPG___tM-vxP5dzPufPfwTKD2Bvh1DUWRdcfAg8xrMviI_Aq2JEKaeaQdv5YXmiB_0GGXnHU1dgclEeB1knOfLGb-WAst5Hz1zhmlUGE3VZfxJJBNAbl6Ib0XcqhbLuWGM1T6TOwou8gkYcl1Dgvs_kUENWp9Y95bdO0FpJaePH9-lO4ti_UJGJni1j0pIY=/osmic-first_01.jpg"")"	Tokyo	Ginza	OSMIC FIRST GINZA SIX店	คาเฟ่ / ขนมหวาน	ขนมหวานและผลิตภัณฑ์จากมะเขือเทศพรีเมียม (Specialty Sweets)	10:30 – 20:30	OSMIC Tomato Princess (มะเขือเทศหวานจัดคัดพิเศษระดับรางวัล), พุดดิ้งมะเขือเทศ, ฟินองเซีย		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6697717,139.7639164&query_place_id=OSMIC%20FIRST%20GINZA%20SIX%E5%BA%97%20Ginza"", ""📍 แผนที่"")"
7	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Nl8NPWUjOSXbEzJJqdxSUWCf3XaaGffvKJxg95bLmU3c28qzMK6IDMB0odBGbAPw62bQpkik4MS5nfb5_NngNTZw0tWp2WWt6f_6Pu91MTpxk6TduD-mOLk-MSssURZrmWnhkYoHDRX1J6n_7qje1yXs7jlN5lqDjAfuj7GieH2RV-xR6AtIptG8jET0uCt8VTKFR8K7xxcYmU4n8hI1m5g2qpKVeMDpF0jI3hEdpEeA0ypUH5zE7Ps9zh4C_81qVpIO8Zgx-z8Td6IladOIw=/s_0n7n.jpg"")"	Tokyo	Ginza	Shabusen Ginza Ten (しゃぶせん 銀座店 - EXITMELSA 8F)	ร้านอาหาร	ชาบูชาบู / สุกียากี้หม้อเดี่ยว (Shabu-shabu & Sukiyaki)	11:00 – 22:00	ชุดชาบูเนื้อวากิว/หมูดำคุโรบูตะหม้อเดี่ยว พร้อมน้ำจิ้มงาสูตรเด็ดเสิร์ฟพร้อมข้าวถั่วแดง		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.670661,139.7640411&query_place_id=Shabusen%20Ginza%20Ten%20Ginza"", ""📍 แผนที่"")"
8	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGz68sAGD1zBNMdl0xZaNos2GaqsNVswWRIaLwLk4rMCJ2SB6yhSGT0PJOHnlKkRpAyxrOIFiYw7KeFaNeFDx_2AxW31o-pRRh-Kl-v68UUh2GL3ogkAAXJjlH9uMzgjE25HSLSiSZmh1QQlaPeIc9KE_c1eS2BBydxCX8Gd_LB9IxnLFr5kNw_D5h6ivxjC50rFzOZdfiyEjvbJ_dL09lFhHxDW0XD7fF_h2YTmmjEzMDYNtkKwzOMob4_bmrCm4fQ1DcG5iRS59RUqIL8PwtOx3gEyplcmc82TIkYEOkPg1Qpj5enojj-GfkLEBNRaN0q7b0BnTdLCbzPjAtE2nF7gNmHJv2cf0zgWS172JaTmFfq3ZkviQ5He3fo6cz_NzXSTl9CdZvT65wJLMeUFI8fMByZOkyXWV5TTzqae0qr8pg1asyxWWXry6GEa0eJ-NpdkT2udz8XJIB6CeYpIBxN71gM4HpzZr4eq_7h8pzvWy/107332-4-6da4d6bbbd8e152b2adf2b082e65b9c1-1920x1280.jpg"")"	Tokyo	Ginza	Age.3 GINZA (age.3 銀座)	คาเฟ่ / ขนมหวาน	แซนด์วิชขนมปังทอดไส้ครีมทะลัก (Fried Bread Cream Sandwich)	11:00 – 19:00	ขนมปังทอดกรอบไส้วิปครีมล้นๆ ไส้สตรอว์เบอร์รีสด, ชาเขียวมัทฉะถั่วแดง, สลัดไข่		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6727584,139.7712945&query_place_id=Age.3%20GINZA%20Ginza"", ""📍 แผนที่"")"
9	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGyjLKujHDwlDcRjb2N9k-VFq-IDOXlB8iEk-0qbQ2l7agcjldUyeQ0DxEyIJi9SXrIFjGiXHmKYKzYbP4KIP4vRJHYJuX1GZtf3sAgyq4RBQIIH4Xk91Wb0EF1JUqe16JxVvKgoPSXHBAwJFu6oE2sqAIDhEZqJ3eK3HvI6UaYUpq5YPwmbrftXkcMePaRU3-a3N8NE9dNyKbme1I5E0mwgdzrbJBCxTtaBPP_tB9VSqPBFFN8yQ30brwXWd5qnUBvgv-pCemXOIGzuubyiTdpo=/img_kaneda01.jpg"")"	Tokyo	Ginza	Kanadaya (銀座 金田屋 - EXITMELSA 1F)	ร้านขนมหวาน	ไดฟุกุผลไม้หน้าเปิดทรงเครื่องประดับ (Jewelry Fruit Daifuku)	11:00 – 20:00	ไดฟุกุผลไม้สดตกแต่งสวยงามหรูหรา (สตรอว์เบอร์รี, เมลอน, องุ่นไชน์มัสกัต) ผสานครีมชีส		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6707242,139.7638483&query_place_id=Kanadaya%20Ginza"", ""📍 แผนที่"")"
10	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG5dRVgavSm95IcjVI-EQmKwQeWgQLKRPbVDmHCHNY3pnbda94g9mtrkEglUl03i9TxCuksz6MprwSjPtc3QCaYd1B94JmmG5-_MUghANP0ElHhDM_CDNdlimP1lDkdLAQ207n_CYyiKzQ_IAkWZCEJmMEFK9rj0Y7LLyCqdJczYeXGj0Z3M2WZIW-mJveG3_f1YGFhH6RqTC_q1eFRk5JI0vr_6r-P8iXrCWNWBivuitncljD_OMwnxd7CgrJn5u1XQnFsb1C4mDgvy6G9-s5E7XFur8JA9Zv2tfZabpx54_dMy86C31bwpvmgvNBsFMvQ==/bkxAxm4qadmzoMiosWOD7t0qPl6oQa8i6WKEhsL5.jpg"")"	Tokyo	Ginza	PUDDING LAB Ginza (プリン研究所 銀座店 - EXITMELSA 1F)	ร้านขนมหวาน	พุดดิ้งไฮเอนด์พรีเมียม (Craft Pudding Specialty)	11:00 – 20:00	Matcha Pudding Ouka (พุดดิ้งมัทฉะเกรดสูงสุดเข้มข้นลึกซึ้ง), Vanilla Pudding พร้อมซอสเลือกได้ 12 ชนิด		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6706959,139.7639323&query_place_id=PUDDING%20LAB%20Ginza%20Ginza"", ""📍 แผนที่"")"
